prefecture,year,school
北北海道,2000,旭川大
南北海道,2000,札幌南
青森,2000,光星学院
岩手,2000,専大北上
秋田,2000,秋田商
山形,2000,酒田南
宮城,2000,仙台育英
福島,2000,福島商
茨城,2000,水戸商
栃木,2000,宇都宮学園
群馬,2000,桐生第一
埼玉,2000,浦和学院
山梨,2000,山梨学院大付
千葉,2000,東海大浦安
東東京,2000,日大豊山
西東京,2000,東海大菅生
神奈川,2000,横浜
長野,2000,松商学園
新潟,2000,新発田農
富山,2000,富山商
静岡,2000,浜松商
愛知,2000,中京大中京
岐阜,2000,中京商
三重,2000,日生学園二
石川,2000,小松工
福井,2000,福井商
滋賀,2000,八幡商
京都,2000,鳥羽
奈良,2000,郡山
和歌山,2000,智弁和歌山
大阪,2000,PL学園
兵庫,2000,育英
岡山,2000,岡山理大付
鳥取,2000,米子商
広島,2000,瀬戸内
島根,2000,益田東
山口,2000,岩国
香川,2000,丸亀
愛媛,2000,丹原
徳島,2000,徳島商
高知,2000,明徳義塾
福岡,2000,柳川
佐賀,2000,佐賀北
長崎,2000,長崎日大
熊本,2000,九州学院
大分,2000,中津工
宮崎,2000,延岡学園
鹿児島,2000,樟南
沖縄,2000,那覇
北北海道,2001,帯広三条
南北海道,2001,駒大苫小牧
青森,2001,光星学院
岩手,2001,盛岡大付
秋田,2001,金足農
山形,2001,酒田南
宮城,2001,仙台育英
福島,2001,聖光学院
茨城,2001,常総学院
栃木,2001,作新学院
群馬,2001,桐生第一
埼玉,2001,浦和学院
山梨,2001,日本航空
千葉,2001,習志野
東東京,2001,日大豊山
西東京,2001,日大三
神奈川,2001,横浜
長野,2001,松商学園
新潟,2001,日本文理
富山,2001,滑川
石川,2001,金沢
福井,2001,福井商
静岡,2001,静岡
愛知,2001,中京大中京
岐阜,2001,岐阜三田
三重,2001,三重
滋賀,2001,近江
京都,2001,京都成章
奈良,2001,天理
和歌山,2001,智弁和歌山
大阪,2001,近大付
兵庫,2001,東洋大姫路
岡山,2001,岡山理大付
広島,2001,如水館
鳥取,2001,鳥取西
島根,2001,開星
山口,2001,岩国
香川,2001,尽誠学園
徳島,2001,徳島商
愛媛,2001,松山商
高知,2001,明徳義塾
福岡,2001,九産大九州
佐賀,2001,神埼
長崎,2001,長崎日大
熊本,2001,九州学院
大分,2001,日田林工
宮崎,2001,日南学園
鹿児島,2001,樟南
沖縄,2001,宜野座
北北海道,2002,旭川実
南北海道,2002,駒大苫小牧
青森,2002,青森山田
岩手,2002,盛岡大付
秋田,2002,秋田商
山形,2002,酒田南
宮城,2002,仙台育英
福島,2002,聖光学院
茨城,2002,常総学院
栃木,2002,作新学院
群馬,2002,桐生第一
埼玉,2002,浦和学院
山梨,2002,日本航空
千葉,2002,木更津総合
東東京,2002,関東一
西東京,2002,日大三
神奈川,2002,桐光学園
長野,2002,佐久長聖
新潟,2002,日本文理
富山,2002,滑川
石川,2002,遊学館
福井,2002,福井
静岡,2002,静岡
愛知,2002,東邦
岐阜,2002,県岐阜商
三重,2002,三重
滋賀,2002,近江
京都,2002,京都成章
奈良,2002,智弁学園
和歌山,2002,智弁和歌山
大阪,2002,大阪桐蔭
兵庫,2002,報徳学園
岡山,2002,玉野光南
広島,2002,広陵
鳥取,2002,倉吉北
島根,2002,開星
山口,2002,宇部商
香川,2002,尽誠学園
徳島,2002,鳴門工
愛媛,2002,川之江
高知,2002,明徳義塾
福岡,2002,柳川
佐賀,2002,鳥栖
長崎,2002,海星
熊本,2002,熊本工
大分,2002,柳ヶ浦
宮崎,2002,日章学園
鹿児島,2002,樟南
沖縄,2002,中部商
北北海道,2003,旭川大
南北海道,2003,駒大苫小牧
青森,2003,青森山田
岩手,2003,盛岡大付
秋田,2003,秋田商
山形,2003,酒田南
宮城,2003,東北
福島,2003,聖光学院
茨城,2003,常総学院
栃木,2003,作新学院
群馬,2003,桐生第一
埼玉,2003,浦和学院
山梨,2003,日本航空
千葉,2003,木更津総合
東東京,2003,修徳
西東京,2003,日大三
神奈川,2003,横浜
長野,2003,佐久長聖
新潟,2003,日本文理
富山,2003,滑川
石川,2003,遊学館
福井,2003,福井商
静岡,2003,静岡
愛知,2003,中京大中京
岐阜,2003,県岐阜商
三重,2003,三重
滋賀,2003,近江
京都,2003,京都成章
奈良,2003,天理
和歌山,2003,智弁和歌山
大阪,2003,PL学園
兵庫,2003,東洋大姫路
岡山,2003,関西
広島,2003,広陵
鳥取,2003,八頭
島根,2003,江の川
山口,2003,岩国
香川,2003,香川西
徳島,2003,小松島
愛媛,2003,今治西
高知,2003,明徳義塾
福岡,2003,筑陽学園
佐賀,2003,鳥栖商
長崎,2003,長崎日大
熊本,2003,必由館
大分,2003,柳ヶ浦
宮崎,2003,日南学園
鹿児島,2003,樟南
沖縄,2003,沖縄尚学
北北海道,2004,旭川北
南北海道,2004,駒大苫小牧
青森,2004,青森山田
岩手,2004,盛岡大付
秋田,2004,秋田商
山形,2004,酒田南
宮城,2004,東北
福島,2004,聖光学院
茨城,2004,下妻二
栃木,2004,宇都宮南
群馬,2004,桐生第一
埼玉,2004,浦和学院
山梨,2004,東海大甲府
千葉,2004,千葉経大付
東東京,2004,修徳
西東京,2004,日大三
神奈川,2004,横浜
長野,2004,塚原青雲
新潟,2004,日本文理
富山,2004,富山商
石川,2004,遊学館
福井,2004,福井
静岡,2004,東海大翔洋
愛知,2004,中京大中京
岐阜,2004,県岐阜商
三重,2004,鈴鹿
滋賀,2004,北大津
京都,2004,京都外大西
奈良,2004,天理
和歌山,2004,市和歌山商
大阪,2004,PL学園
兵庫,2004,報徳学園
岡山,2004,岡山理大付
広島,2004,広島商
鳥取,2004,鳥取商
島根,2004,浜田
山口,2004,岩国
香川,2004,尽誠学園
徳島,2004,鳴門第一
愛媛,2004,済美
高知,2004,明徳義塾
福岡,2004,西日本短大付
佐賀,2004,佐賀学園
長崎,2004,佐世保実
熊本,2004,熊本工
大分,2004,明豊
宮崎,2004,佐土原
鹿児島,2004,鹿児島実
沖縄,2004,中部商
